created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2019-10-09 06:36:59 UTC,2992,26.70000,17.40000,25.10000,38.20000,9.70000,11.30000,15.80000,400.04352
2019-10-09 06:37:59 UTC,2993,26.70000,17.40000,25.10000,38.30000,9.80000,11.40000,15.70000,400.04315
2019-10-09 06:38:58 UTC,2994,26.70000,17.40000,25.10000,38.40000,9.80000,11.40000,15.70000,400.04279
2019-10-09 06:39:58 UTC,2995,26.70000,17.40000,25.00000,38.50000,9.80000,11.40000,15.60000,400.04242
2019-10-09 06:40:59 UTC,2996,26.70000,17.40000,25.10000,38.50000,9.80000,11.40000,15.60000,400.04205
2019-10-09 06:41:59 UTC,2997,26.70000,17.40000,25.10000,38.60000,9.80000,11.40000,15.60000,400.04169
2019-10-09 06:42:59 UTC,2998,26.70000,17.40000,25.10000,38.60000,9.80000,11.40000,15.60000,400.04132
2019-10-09 06:43:59 UTC,2999,26.70000,17.40000,25.10000,38.70000,9.80000,11.50000,15.60000,400.04095
2019-10-09 06:44:59 UTC,3000,26.70000,17.40000,25.10000,38.60000,9.80000,11.40000,15.60000,400.04059
2019-10-09 06:45:59 UTC,3001,26.70000,17.40000,25.10000,38.60000,9.80000,11.40000,15.60000,400.04022
2019-10-09 06:46:59 UTC,3002,26.70000,17.40000,25.10000,38.60000,9.80000,11.40000,15.60000,400.03986
2019-10-09 06:47:59 UTC,3003,26.70000,17.40000,25.10000,38.60000,9.80000,11.40000,15.60000,400.03949
2019-10-09 06:48:59 UTC,3004,26.70000,17.40000,25.00000,38.70000,9.80000,11.50000,15.50000,400.03912
2019-10-09 06:49:59 UTC,3005,26.70000,17.40000,25.00000,38.80000,9.80000,11.50000,15.50000,400.03876
2019-10-09 06:51:01 UTC,3006,26.70000,17.50000,25.00000,38.80000,9.90000,11.50000,15.50000,400.03839
2019-10-09 06:52:04 UTC,3007,26.60000,17.50000,25.00000,39.00000,9.90000,11.50000,15.50000,400.03802
2019-10-09 06:53:01 UTC,3008,26.60000,17.50000,25.00000,38.90000,9.90000,11.50000,15.50000,400.03769
2019-10-09 06:54:00 UTC,3009,26.70000,17.50000,25.00000,38.80000,9.90000,11.50000,15.50000,400.03732
2019-10-09 06:55:00 UTC,3010,26.70000,17.40000,25.00000,38.80000,9.80000,11.50000,15.50000,400.03696
2019-10-09 06:56:00 UTC,3011,26.60000,17.40000,25.00000,38.70000,9.80000,11.40000,15.60000,400.03659
2019-10-09 06:57:00 UTC,3012,26.60000,17.40000,25.00000,38.80000,9.80000,11.50000,15.50000,400.03622
2019-10-09 06:58:00 UTC,3013,26.60000,17.40000,25.00000,38.90000,9.80000,11.50000,15.50000,400.03586
2019-10-09 06:59:00 UTC,3014,26.60000,17.40000,25.00000,38.80000,9.80000,11.50000,15.50000,400.03549
